date,dm3/s
2022-07-01,173
2022-07-02,153
2022-07-03,146
2022-07-04,165
2022-07-05,157
2022-07-06,1318
2022-07-07,333
2022-07-08,223
2022-07-09,188
2022-07-10,166
2022-07-11,151
2022-07-12,145
2022-07-13,135
2022-07-14,129
2022-07-15,127
2022-07-16,119
2022-07-17,114
2022-07-18,116
2022-07-19,115
2022-07-20,154
2022-07-21,122
2022-07-22,125
2022-07-23,128
2022-07-24,116
2022-07-25,110
2022-07-26,119
2022-07-27,114
2022-07-28,111
2022-07-29,108
2022-07-30,110
2022-07-31,106
2022-08-01,107
2022-08-02,103
2022-08-03,96
2022-08-04,97
2022-08-05,101
2022-08-06,99
2022-08-07,92
2022-08-08,92
2022-08-09,105
2022-08-10,90
2022-08-11,84
2022-08-12,83
2022-08-13,78
2022-08-14,84
2022-08-15,85
2022-08-16,87
2022-08-17,121
2022-08-18,280
2022-08-19,169
2022-08-20,102
2022-08-21,91
2022-08-22,98
2022-08-23,101
2022-08-24,93
2022-08-25,98
2022-08-26,106
2022-08-27,94
2022-08-28,101
2022-08-29,296
2022-08-30,108
2022-08-31,100
2022-09-01,105
2022-09-02,97
2022-09-03,97
2022-09-04,94
2022-09-05,91
2022-09-06,85
2022-09-07,85
2022-09-08,89
2022-09-09,86
2022-09-10,86
2022-09-11,85
2022-09-12,130
2022-09-13,147
2022-09-14,93
2022-09-15,89
2022-09-16,121
2022-09-17,99
2022-09-18,94
2022-09-19,92
2022-09-20,88
2022-09-21,90
2022-09-22,91
2022-09-23,103
2022-09-24,202
2022-09-25,144
2022-09-26,121
2022-09-27,441
2022-09-28,359
2022-09-29,1260
2022-09-30,784
2022-10-01,342
2022-10-02,195
2022-10-03,164
2022-10-04,144
2022-10-05,134
2022-10-06,128
2022-10-07,124
2022-10-08,122
2022-10-09,126
2022-10-10,127
2022-10-11,119
2022-10-12,133
2022-10-13,128
2022-10-14,124
2022-10-15,117
2022-10-16,110
2022-10-17,160
2022-10-18,116
2022-10-19,121
2022-10-20,151
2022-10-21,118
2022-10-22,112
2022-10-23,134
2022-10-24,104
2022-10-25,101
2022-10-26,96
2022-10-27,96
2022-10-28,93
2022-10-29,89
2022-10-30,92
2022-10-31,102
2022-11-01,149
2022-11-02,107
2022-11-03,131
2022-11-04,504
2022-11-05,230
2022-11-06,144
2022-11-07,128
2022-11-08,116
2022-11-09,124
2022-11-10,121
2022-11-11,112
2022-11-12,108
2022-11-13,104
2022-11-14,204
2022-11-15,183
2022-11-16,146
2022-11-17,240
2022-11-18,293
2022-11-19,1697
2022-11-20,868
2022-11-21,3654
2022-11-22,1948
2022-11-23,1922
2022-11-24,1119
2022-11-25,1248
2022-11-26,800
2022-11-27,548
2022-11-28,1311
2022-11-29,4615
2022-11-30,2916
2022-12-01,1201
2022-12-02,784
2022-12-03,711
2022-12-04,587
2022-12-05,462
2022-12-06,411
2022-12-07,364
2022-12-08,407
2022-12-09,417
2022-12-10,566
2022-12-11,416
2022-12-12,730
2022-12-13,637
2022-12-14,516
2022-12-15,683
2022-12-16,1266
2022-12-17,888
2022-12-18,657
2022-12-19,541
2022-12-20,484
2022-12-21,439
2022-12-22,388
2022-12-23,353
2022-12-24,332
2022-12-25,314
2022-12-26,295
2022-12-27,278
2022-12-28,264
2022-12-29,312
2022-12-30,573
2022-12-31,337
2023-01-01,300
2023-01-02,320
2023-01-03,288
2023-01-04,261
2023-01-05,254
2023-01-06,250
2023-01-07,261
2023-01-08,591
2023-01-09,1987
2023-01-10,686
2023-01-11,1014
2023-01-12,788
2023-01-13,607
2023-01-14,531
2023-01-15,1231
2023-01-16,10884
2023-01-17,15276
2023-01-18,7293
2023-01-19,10925
2023-01-20,14068
2023-01-21,5522
2023-01-22,3109
2023-01-23,2219
2023-01-24,1745
2023-01-25,1479
2023-01-26,5128
2023-01-27,4264
2023-01-28,4188
2023-01-29,3158
2023-01-30,2270
2023-01-31,1937
2023-02-01,2264
2023-02-02,2121
2023-02-03,1788
2023-02-04,1495
2023-02-05,1294
2023-02-06,1190
2023-02-07,1106
2023-02-08,953
2023-02-09,830
2023-02-10,737
2023-02-11,665
2023-02-12,608
2023-02-13,554
2023-02-14,527
2023-02-15,502
2023-02-16,475
2023-02-17,456
2023-02-18,435
2023-02-19,415
2023-02-20,405
2023-02-21,395
2023-02-22,396
2023-02-23,2767
2023-02-24,2983
2023-02-25,1968
2023-02-26,1740
2023-02-27,1493
2023-02-28,1290
