name,weight,eur,type
Ilargi_350b,340,1.50,bakery
Ilargi_250b,278,1.40,bakery
Ilargi_Bikoitz_300,260,1.40,bakery
Labekoa_350b,357,1.50,bakery
Ilargi_Baserri,600,2.55,bakery
Ilargi_Endaia_700,720,2.15,bakery
Udana_400l,425,1.40,market
Udana_900l,908,2.50,market
Makatza_900l,900,2.25,market
Ilargi_Natural_S,273,1.40,bakery
Sagaspe_900l,915,3.00,market
Ilargi_Endaia_700,684,2.15,bakery
Berroeta_700l,694,2.50,market
Makatza_400,411,1.40,market
Manantial,493,1.95,bakery
Sagaspe_550l,557,1.70,market
Udana_400b,448,1.40,market
Labekoa_350b,360,1.50,bakery
Ilargi Euskal,435,1.95,bakery
Ilargi_250b,237,1.40,bakery
Ilargi_250b,267,1.40,bakery
Udana_250b,258,1.00,market
Udana_400l,420,1.40,market
Berroeta_700l,710,2.50,market
Udana_900l,854,2.50,market
Ilargi_350b,344,1.50,bakery
Ilargi_350b,363,1.50,bakery
Berroeta_700l,705,2.50,market
Udana_400b,410,1.40,market
Udana_250b,254,1.00,market
Ilargi_Natural_L,367,1.50,bakery
Labekoa_350b,378,1.50,bakery
Sagaspe_700l,670,2.50,market
Udana_250b,242,1.00,market
Udana_400b,402,1.40,market
Ilargi_Bikoitz_300,313,1.40,bakery
Ilargi_Bikoitz_300,301,1.40,bakery
Sagaspe_550l,530,1.70,market
Udana_900l,894,2.50,market
Ilargi_Baserri,553,2.30,bakery
Sagaspe_550l,528,1.70,market
Udana_400l,427,1.40,market
Galp_Chapata,254,0.90,store
Ilargi_Endaia_700,678,2.15,bakery
Sagaspe_300l,310,1.10,market
Ilargi_Baguette,265,1.40,store
Makatza_350l,352,1.00,market
Galp_Parisienne,209,0.90,store
Ilargi_Sobao,319,1.50,bakery
Labekoa_350b,358,1.50,bakery
Sagaspe_300l,311,1.10,market
Ilargi_Baguette,250,1.40,store
Makatza_900l,915,2.25,market
Galp_Parisienne,215,0.90,store
Galp_Gallego,298,0.95,store
Dia_Molino,244,0.55,store
Labekoa_350l,345,1.50,bakery
Makatza_500l,514,1.50,market
Galp_Gallego,271,0.95,store
Dia_Parisienne,298,0.75,store
Eroski_Mediana,224,0.45,store
Eroski_Baguette,218,0.50,store
Eroski_Campesina,301,0.84,store
Sagaspe_550l,566,1.70,market
Galp_Gallego,275,0.95,store
Dia_Molino,232,0.55,store
Dia_Hogaza,456,1.75,store
Eroski_Mediana,243,0.45,store
Eroski_Rustica,419,1.39,store
Sagaspe_700l,753,2.55,market
Makatza_500l,503,1.50,market
Eroski_Rustica,388,1.39,store
Eroski_Rustica,401,1.59,store
Ilargi_Baserri,442,2.30,bakery
Galp_Parisienne,241,0.90,store
Ilargi_Baserri_l,474,1.55,bakery
Eroski_Hogaza,388,1.99,store
Udana_900l,870,2.50,market
Eroski_Baston,311,1.10,store
Eroski_Baston,349,1.10,store
Eroski_Rustica,399,1.59,store
Udana_900l,855,2.50,market
Udana_700l,670,1.90,market
Ilargi_Baserri,593,2.30,bakery
Makatza_500l,504,1.50,market
