word,meaning
primeval,"'primitivo, primigenio.', 'Will we soon find primeval forms of life on other planets?'"
pigtails,"'coletas, trenzas.', 'She combed her hair into pigtails and tied a bow on each one.'"
pare,"'fruit: peel, pelar, mondar.', 'You need to pare the apple before adding it to the pot.'"
pang,'punzada de dolor'
outwit,'outsmart'
lanky,"'awkwardly tall and thin, desgarbado, larguirucho.', 'The lanky young boy looked uncomfortable in his own body.'"
kooky,"'eccentric, raro, chiflado.', 'My kooky professor always wears bright-colored bow ties to class.'"
keepsake,"'souvenir, memento, recuerdo.', 'Lisa bought a bracelet as a keepsake from her vacation.'"
humongous,"'huge, enormous, gigante, descomunal.'"
happenstance,"'chance circumstance, por casualidad.', ""We didn't plan to meet at the cafe, we just saw each other there by happenstance."""
drudgery,"'boring work, lata, que causa hastío.', 'Itwas the drudgery of my office job that made me decide to change careers.', 'trabajo pesado, penoso, arduo.', ""A miner's life is one of great drudgery."""
fallow,"'en barbecho, temporarily uncultivared.', 'Fallow fields allow the soil to recover its fertility.'"
decry,"'denounce, denunciar.', 'Government officials have decried the law as unconstitutional.'"
chaff,"'husks of grain, cascarilla.', 'During harvest, the chaff is separated from the grains.', 'worthless, rubbish', 'Before you move to a new house, you should sort through your belongings and throw away the chaff.', 'separate the wheat from the chaff.'"
brisk,"'a paso ligero, rápido y enérgico, brioso.', 'They set off at a brisk pace.'"
brine,"'salmuera, salty water', 'Soaking meat inbrinefor several hours before cooking it makes it tender.', '', 'briny: containing a lot of salt, salty like the sea.'"
bookcase,"'set of bookshelves, biblioteca-librería (mueble).', 'The shelves on the bookcase are starting to sag.'"
boisterous,"'bullicioso, ruidoso, escandaloso.', 'The old lady finds babysitting her four boisterous grandchildren rather tiring.'"
bod,"'abbreviation of body.', 'tipo, tipa.', ""He's a nice bod, isn't he?"""
bleat,"'sheep, goat: balar.', 'The lamb bleated loudly to be fed.', ""Lambs soon learn to recognize their mother's bleats."""
beater,"'cooker: whisk, batidora.', 'Mix the ingredients with a hand-held beater.'"
bandwagon,"'carro, moda, tendencia popular.', 'jump on the bandwagon: seguir al rebaño.'"
assorted,"'variado, surtido, different types grouped together.', 'An assorted box of chocolates.'"
whey,"'liquid part of milk, suero de leche.', 'Vegetables cooked in whey are very nutritious.'"
undertone,"'low voice.', 'The two men spoke in an undertone so that nobody would overhear them.', 'underlying meaning, trasfondo, mensaje de fondo.', ""The teacher's words had a threatening undertone."""
unchecked,"'uncontrolled, desenfrenado.', 'If global warming is left unchecked, many plant and animal species will become extinct.'"
tang,"'pungent taste, sabor fuerte.', ""This candy has a tang; it's sour but delicious!"", 'The cheesecake has a surprising tang of lemon.', 'strong smell of', ""There was a strange tang in the air, but Paul couldn't quite put his finger on what it was."""
stubble,"'barba incipiente, barba de varios días.', ""Eugene hadn't shaved for days and his chin was covered in stubble."""
steamer,"'barco de vapor.', 'A steamer slowly approached the port.'"
slush,"'nieve medio derretida.', 'Be careful - all the roads are covered in slush.'"
skillet,"'shallow pan for frying, sartén.', 'She served the potatoes right out of the skillet.'"
scallop,"'vieira', 'Oliver served his guests scallops as a starter.', 'The young boy used a scallop to scoop water from the rock pool.', 'us: escalope: thin slice of meat.', ""The restaurant's dish of the day is veal scallops in garlic sauce."""
sappy,"'sensiblero, sentimental.', 'Rick hates sappy movies; he prefers action or horror.'"
redress,"'correct, set right, rectificar.', 'The company excelled at customer service because it always redressed customer complaints.'"
levity,"'frivolity, ligereza .', 'Given the seriousness of this situation, I feel your levity is uncalled for.'"
knell,"'bell: ring, sonar, doblar.', 'The bell knelled all day in mourning of his death.'"
jetty,"'pedestrian pier, walkway, muelle.', 'We walked to the end of the jetty to watch the sun set over the ocean.'"
jettison,"'throw overboard, tirar por la borda.', 'deshacerse de, tirar.', 'You should jettison that ugly old car.'"
heartburn,"'acid stomach, ardor de estómago, bihotzerre.', 'Spicy food can cause heartburn for some people.'"
gavel,"""judge's mallet, auctioneer's hammer, martillo, mazo."", 'The judge brought down the gavel and said ""Case dismissed"".'"
foreshadow,''
dumbfounded,"'perplexed, boquiabierto.', 'Researchers are all dumbfounded by the complexity of the problem.', 'astonished, asombrado, estupefacto.'"
dopey,"'sleepy, sluggish, aletargado, atontado.', ""Ifeel dopey today because I didn't sleep at all last night."""
deadbeat,"'idle or worthless person, vago, holgazán.', 'Allison left her husband because he was a deadbeat.'"
crux,"'decisive point, punto crucial.', 'The crux of the problem lies in the budget constraints.'"
concoct,"'prepare, mix, preparar, elaborar, confeccionar.', 'The witch concocted a brew to turn the man into a frog.', 'The story was completely concocted, without a single true detail.'"
coddle,"'pamper, mimar, consentir.', ""Max's mother coddled him, and he's never had to face criticism in his life."""
chock,"'calza, block or wedge placed to prevent sth from moving or rolling.'"
bauble,"'Christmas decoration, adirno, bola.', 'cheap trinket, adorno, fruslería.', ""My wife doesn't own any expensive jewelry; she only has baubles."""
askew,"'twisted, crooked, torcido.', 'Your tie is askew; let me fix it.'"
aftertaste,"'lingering flavour, regusto, deje, saborcillo.', 'This beer has a metallic aftertaste.', 'Jo was excited to meet her hero at last, though his comments about women left an unpleasant aftertaste.'"
aft,"'popa, rear in boat, ship.', 'The aft sail needs adjusting.', 'stern.', ''"
wisp,"'loose strand: of hair. Mechón.', 'Sarah brushed a wisp of hair away from her face.', 'fine trail: of smoke. Hilillo, voluta.', 'A wisp of smoke from the chimney drifted across the sky.'"
whitewash,"'whitening mixture, cal.', 'Ibought a can of whitewash to paint the wall.', 'cover-up, encubrir.', '""greenwashing"", ""sportswashing""'"
tinge,"'tinte, matiz.', ""The jam had a strange green tinge, so I didn't eat any."", 'hint of flavour.', 'The Brussels sprouts may have gone bad; they have a strange tinge.'"
