,title,director,year,stars,tmdb_title,tmdb_id,tmdb_genre,tmdb_lang,tmdb_runtime,tmdb_vote_cnt,tmdb_vote_avg
0,Inland Empire,David Lynch,2006,4.0,Inland Empire,1730,Film,en,180,1007,7.023
1,La vida es un milagro,Emir Kusturica,2004,,Life Is a Miracle,20128,Film,sr,155,163,7.365
2,El arca rusa,Aleksandr Sokurov,2002,5.0,Russian Ark,16646,Film,ru,99,425,7.3
3,Biutiful,Alejandro Glez. Iñárritu,2010,,Biutiful,45958,Film,es,148,1040,7.255
4,Carretera perdida,David Lynch,1997,,Lost Highway,638,Film,en,134,2422,7.6
5,Poesía,Lee Chang-Dong,2010,5.0,Poetry,47909,Film,ko,139,283,7.592
6,There will be blood,Paul Thomas Anderson,2007,,There Will Be Blood,7345,Film,en,158,6205,8.086
7,Zodiac,David Fincher,2007,,Zodiac,1949,Film,en,163,9890,7.521
8,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,,Eternal Sunshine of the Spotless Mind,38,Film,en,108,14101,8.1
9,Ichi the Killer,Takashi Miike,2001,,Ichi the Killer,9696,Film,ja,129,894,6.994
10,Balada triste de trompeta,Alex De La Iglesia,2010,,The Last Circus,56812,Film,es,106,394,6.681
11,The World,Jia Zhang Ke,2004,,A Home at the End of the World,18923,Film,en,96,149,6.48
12,Demonlover,Olivier Assayas,2002,,Demonlover,24488,Film,fr,121,85,5.6
13,Redacted,Brian de Palma,2007,,Redacted,11600,Film,en,90,160,6.013
14,Still life,Jia Zhang Ke,2006,,Still Life,2346,Film,zh,108,128,7.23
15,Exit through the gift shop ,Banksy,2010,5.0,Exit Through the Gift Shop,39452,Documentary,en,87,833,7.532
16,Collateral,Michael Mann,2004,,Collateral,1538,Film,en,120,5260,7.215
17,Funny Games,Michael Haneke,1997,4.0,Funny Games,10234,Film,de,109,1683,7.328
18,The Wrestler,Darren Aronofsky,2008,,The Wrestler,12163,Film,en,109,3437,7.534
19,La pianista,Michael Haneke,2001,,The Legend of 1900,10376,Film,it,170,2140,8.261
20,The Secret of Kells,Tomm Moore,2009,,The Secret of Kells,26963,Film,en,75,637,7.4
21,El verdugo,Luis G. Berlanga,1963,4.0,The Executioner,4498,Film,es,91,152,7.5
22,Amarcord,Federico Fellini,1973,,Amarcord,7857,Film,it,123,1045,7.915
23,Pa negre,Agustí Villaronga,2010,,Black Bread,57521,Film,ca,108,107,6.7
24,El ángel exterminador,Luis Buñuel,1962,4.0,The Exterminating Angel,29264,Film,es,94,610,7.9
25,Tristana,Luis Buñuel,1970,,Tristana,35838,Film,es,98,230,7.3
26,Arrebato,Iván Zulueta,1979,,Rapture,4494,Film,es,110,72,6.75
27,"They Shoot Horses, Don't They?",Sydney Pollack,1969,,"They Shoot Horses, Don't They?",28145,Film,en,120,288,7.6
28,Testigo de cargo,Billy Wilder,1957,,Witness for the Prosecution,37257,Film,en,116,1277,8.214
29,Solas,Benito Zambrano,1999,,Alone,80713,Film,es,101,44,6.943
30,El Gatopardo,Luchino Visconti,1963,,The Leopard,1040,Film,it,186,744,7.717
31,Qué verde era mi valle,John Ford,1941,,How Green Was My Valley,43266,Film,en,118,361,7.241
32,"Alemania, año cero",Roberto Rossellini,1948,4.0,"Germany, Year Zero",8016,Film,it,72,330,7.7
33,La regla del juego,Jean Renoir,1939,4.0,The Rules of the Game,776,Film,fr,106,534,7.567
34,"El bueno, el feo y el malo",Sergio Leone,1966,,"The Good, the Bad and the Ugly",429,Film,it,161,8062,8.468
35,Canino,Giorgo Lanthimos,2009,4.0,Dogtooth,38810,Film,el,98,2056,7.099
36,Carta de una desconocida,Max Opuls,1948,,Letter from an Unknown Woman,946,Film,en,87,277,7.782
37,Vacaciones en Roma,William Wyler,1953,,Roman Holiday,804,Film,en,119,1895,7.9
38,El día de la marmota,Harold Ramis,1993,,Groundhog Day,137,Film,en,101,7516,7.608
39,Belle de jour,Luis Buñuel,1967,,Belle de Jour,649,Film,fr,101,813,7.402
40,Let´s Get Lost,Bruce Weber,1988,,Let's Get Lost,37640,Documentary,en,120,36,7.042
41,The Man Who Shot Liberty Valance,John Ford,1962,,The Man Who Shot Liberty Valance,11697,Film,en,123,1042,7.8
42,Cuentos de Tokio,Yasujiro Ozu,1953,4.0,Tokyo Story,18148,Film,ja,137,963,8.179
43,Buenos días,Yasujiro Ozu,1959,4.0,Good Morning,28276,Film,ja,94,238,7.708
44,Ordet (La palabra),Carl Theodor Dreyer,1955,5.0,Ordet,48035,Film,da,125,328,7.9
45,Luz silenciosa,Carlos Reygadas,2007,,Silent Light,2012,Film,de,136,104,6.971
46,Gertrud,Carl Theodor Dreyer,1965,,Gertrud,34181,Film,da,119,140,7.2
47,Dies Irae,Carl Theodor Dreyer,1943,5.0,Day of Wrath,41391,Film,da,97,205,8.0
48,Uncle Boonmee que recuerda...,Apitch. Weerasethakul,2010,,Uncle Boonmee Who Can Recall His Past Lives,38368,Film,th,114,334,6.635
49,El intendente Sansho,Kenji Mizoguchi,1954,,Sansho the Bailiff,20532,Film,ja,124,341,8.1
50,Fresa y chocolate,Tomás Gutiérrez Alea,1993,,Strawberry and Chocolate,12527,Film,es,108,75,7.087
51,Simón del desierto,Luis Buñuel,1965,,Simon of the Desert,36265,Film,es,45,204,7.672
52,Stromboli,Roberto Rossellini,1950,,Stromboli,4173,Film,it,107,175,7.0
53,Whisky,Juan Pablo Rebella,2004,,Whisky,36971,Film,es,99,79,6.9
54,Luna nueva (His Girl Friday),Howard Hawks,1940,,His Girl Friday,3085,Film,en,92,760,7.401
55,Rashomon,Akira Kurosawa,1950,,Rashomon,548,Film,ja,88,2032,8.108
56,Primera plana,Billy Wilder,1974,,The Front Page,987,Film,en,105,314,7.288
57,XXY,Lucía Puenzo,2007,,XXY,11148,Film,es,86,270,6.861
58,La historia oficial,Luis Puenzo,1985,4.0,The Official Story,29263,Film,es,112,176,7.531
59,El río,Jean Renoir,1951,5.0,The River,45218,Film,en,99,95,7.263
60,Vivir su vida,Jean Luc Godard,1962,4.0,Vivre Sa Vie,1626,Film,fr,84,589,7.761
61,Breve encuentro,David Lean,1945,,Brief Encounter,851,Film,en,86,561,7.679
62,El sueño eterno,Howard Hawks,1946,,The Big Sleep,910,Film,en,114,957,7.6
63,Cayo Largo,John Huston,1948,,Key Largo,11016,Film,en,100,494,7.475
64,Viaggio in Italia,Roberto Rossellini,1954,5.0,Journey to Italy,2748,Film,it,85,262,7.319
65,"Roma, ciudad abierta",Roberto Rossellini,1945,,"Rome, Open City",307,Film,it,103,816,8.0
66,L'Atlante,Jean Vigo,1934,4.0,,,,,,,
67,La aventura,Michelangelo Antonioni,1960,,Adventures of Joselito and Tom Thumb,102744,Film,es,87,16,5.344
68,Valor de ley,Coen,2010,,True Grit,44264,Film,en,110,5003,7.304
69,Cero en conducta,Jean Vigo,1933,4.0,Zero for Conduct,44494,Film,fr,49,220,6.911
70,Smoke,Wayne Wang,1995,4.0,Smoke,10149,Film,en,112,443,7.203
71,Europa 51,Roberto Rossellini,1952,4.0,Europe '51,41464,Film,it,118,116,7.384
72,Incendies,Denis Villeneuve,2010,,Incendies,46738,Film,fr,131,2440,8.102
73,Las amigas,Michelangelo Antonioni,1955,,Le Amiche,46979,Film,it,104,70,6.761
74,El desierto rojo,Michelangelo Antonioni,1965,,Red Desert,26638,Film,it,117,420,7.388
75,El hombre de al lado,Gastón Duprat,2009,4.0,The Man Next Door,47383,Film,es,103,47,6.5
76,The Woman on the Beach,Jean Renoir,1947,,The Woman on the Beach,37041,Film,en,71,43,6.0
77,A bout de souffle,Jean Luc Godard,1960,,Breathless,269,Film,fr,90,1688,7.556
78,Los inútiles (I vitelloni),Federico Fellini,1953,4.0,I Vitelloni,12548,Film,it,103,637,7.7
79,Il bidone,Federico Fellini,1955,,The Swindle,36102,Film,it,113,178,7.334
80,La strada,Federico Fellini,1954,4.0,La Strada,405,Film,it,115,986,7.934
81,Las noches de Cabiria,Federico Fellini,1957,,Nights of Cabiria,19426,Film,it,110,706,7.984
82,Roma,Federico Fellini,1972,,Roma,11035,Film,it,128,289,7.246
83,El Evangelio según San Mateo,Pier Paolo Pasolini,1964,,The Gospel According to Matthew,24192,Film,it,137,329,7.4
84,Accattone,Pier Paolo Pasolini,1961,,Accattone,12491,Film,it,117,450,7.7
85,Cirkus Columbia,Danis Tanovic,2010,,Cirkus Columbia,63834,Film,bs,107,21,6.7
86,Margarita Gautier,George Cukor,1937,,Camille,43874,Film,en,109,119,7.034
87,The Shop Around the Corner,Ernst Lubitsch,1940,4.0,The Shop Around the Corner,20334,Film,en,99,663,8.2
88,That Uncertain Feeling,Ernst Lubitsch,1941,,That Uncertain Feeling,43799,Film,en,84,44,6.432
89,Ninotchka,Ernst Lubitsch,1939,,Ninotchka,1859,Film,en,110,356,7.5
90,Duel (Diablo sobre ruedas),Steven Spielberg,1971,,Duel,839,Film,en,89,1724,7.428
91,Notorious (Encadenados),Alfred Hitchcock,1946,,Notorious,303,Film,en,103,1477,7.756
92,Angel,Ernst Lubitsch,1937,4.0,Angel,44208,Film,en,91,61,6.803
93,While the City Sleeps,Fritz Lang,1956,,While the City Sleeps,36786,Film,en,100,120,6.9
94,Micmacs,Jean-Pierre Jeunet,2009,,Micmacs,27936,Film,fr,100,548,6.605
95,The Private Life of Sherlock Holmes,Billy Wilder,1970,,The Private Life of Sherlock Holmes,5185,Film,en,125,257,6.839
96,The Life and Death of Colonel Blimp,Michael Powell,1943,,The Life and Death of Colonel Blimp,25037,Film,en,163,224,7.5
97,La jungla de asfalto,John Huston,1950,5.0,The Asphalt Jungle,16958,Film,en,112,442,7.525
98,To Have and Have Not,Howard Hawks,1944,,To Have and Have Not,22584,Film,en,100,471,7.447
99,"Party Girl (Chicago, años 30)",Nicholas Ray,1958,,Party Girl,25633,Film,en,99,63,6.738
100,"Suddenly, Last Summer",Joseph L. Mankiewicz,1959,4.0,"Suddenly, Last Summer",14698,Film,en,114,251,7.3
101,Cat on a Hot Tin Roof,Richard Brooks,1958,,Cat on a Hot Tin Roof,261,Film,en,108,700,7.655
102,From Here to Eternity,Fred Zinnemann,1953,,From Here to Eternity,11426,Film,en,118,584,7.299
103,The Ghost and Mrs. Muir,Joseph L. Mankiewicz,1947,5.0,The Ghost and Mrs. Muir,22292,Film,en,105,278,7.559
104,Red River,Howard Hawks,1948,4.0,Red River,3089,Film,en,133,478,7.381
105,An Affair to Remember (Tú y yo),Leo Mccarey,1957,4.0,An Affair to Remember,8356,Film,en,111,428,7.383
106,In a Lonely Place,Nicholas Ray,1950,4.0,In a Lonely Place,17057,Film,en,94,515,7.5
107,Cat People (La mujer pantera),Jacques Tourneur,1943,,Cat People,25508,Film,en,73,536,6.897
108,Pickpocket,Robert Bresson,1959,,Pickpocket,690,Film,fr,75,471,7.299
109,Sólo los ángeles tienen alas,Howard Hawks,1939,4.0,Only Angels Have Wings,43832,Film,en,121,213,7.3
110,No habrá paz para los malvados,Enrique Urbizu,2011,4.0,No Rest for the Wicked,76013,Film,es,114,124,5.875
111,Gilda,Charles Vidor,1946,,Gilda,3767,Film,en,110,536,7.537
112,Touch of Evil (Sed de mal),Orson Welles,1958,4.0,Touch of Evil,1480,Film,en,111,1340,7.762
113,Río Bravo,Howard Hawks,1959,,Rio Bravo,301,Film,en,141,1057,7.825
114,Stagecoach (La diligencia),John Ford,1939,,Stagecoach,995,Film,en,96,1038,7.6
