date,title,director,year,stars
2011-03-27,Inland Empire,David Lynch,2006,4
2011-04-01,La vida es un milagro,Emir Kusturica,2004,
2011-04-03,El arca rusa,Aleksandr Sokurov,2002,5
2011-04-08,Biutiful,Alejandro Glez. Iñárritu,2010,
2011-04-09,Carretera perdida,David Lynch,1997,
2011-04-15,Poesía,Lee Chang-Dong,2010,5
2011-04-16,There will be blood,Paul Thomas Anderson,2007,
2011-04-17,Zodiac,David Fincher,2007,
2011-04-21,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,
2011-04-25,Ichi the Killer,Takashi Miike,2001,
2011-04-29,Balada triste de trompeta,Alex De La Iglesia,2010,
2011-04-30,The World,Jia Zhang Ke,2004,
2011-05-01,Demonlover,Olivier Assayas,2002,
2011-05-06,Redacted,Brian de Palma,2007,
2011-05-07,Still life,Jia Zhang Ke,2006,
2011-05-13,Exit through the gift shop ,Banksy,2010,5
2011-05-14,Collateral,Michael Mann,2004,
2011-05-15,Funny Games,Michael Haneke,1997,4
2011-05-20,The Wrestler,Darren Aronofsky,2008,
2011-05-21,La pianista,Michael Haneke,2001,
2011-05-27,The Secret of Kells,Tomm Moore,2009,
2011-05-28,El verdugo,Luis G. Berlanga,1963,4
2011-05-29,Amarcord,Federico Fellini,1973,
2011-06-03,Pa negre,Agustí Villaronga,2010,
2011-06-05,El ángel exterminador,Luis Buñuel,1962,4
2011-06-11,Tristana,Luis Buñuel,1970,
2011-06-12,Arrebato,Iván Zulueta,1979,
2011-06-17,"They Shoot Horses, Don't They?",Sydney Pollack,1969,
2011-06-18,Testigo de cargo,Billy Wilder,1957,
2011-06-19,Solas,Benito Zambrano,1999,
2011-06-25,El Gatopardo,Luchino Visconti,1963,
2011-06-26,Qué verde era mi valle,John Ford,1941,
2011-06-29,"Alemania, año cero",Roberto Rossellini,1948,4
2011-06-30,La regla del juego,Jean Renoir,1939,4
2011-07-03,"El bueno, el feo y el malo",Sergio Leone,1966,
2011-07-07,Canino,Giorgo Lanthimos,2009,4
2011-07-08,Carta de una desconocida,Max Opuls,1948,
2011-07-14,Vacaciones en Roma,William Wyler,1953,
2011-07-15,El día de la marmota,Harold Ramis,1993,
2011-07-16,Belle de jour,Luis Buñuel,1967,
2011-07-17,Let´s Get Lost,Bruce Weber,1988,
2011-07-22,The Man Who Shot Liberty Valance,John Ford,1962,
2011-07-23,Cuentos de Tokio,Yasujiro Ozu,1953,4
2011-07-25,Buenos días,Yasujiro Ozu,1959,4
2011-07-29,Ordet (La palabra),Carl Theodor Dreyer,1955,5
2011-08-06,Luz silenciosa,Carlos Reygadas,2007,
2011-08-07,Gertrud,Carl Theodor Dreyer,1965,
2011-08-08,Dies Irae,Carl Theodor Dreyer,1943,5
2011-08-11,Uncle Boonmee que recuerda...,Apitch. Weerasethakul,2010,
2011-08-12,El intendente Sansho,Kenji Mizoguchi,1954,
2011-08-14,Fresa y chocolate,Tomás Gutiérrez Alea,1993,
2011-08-15,Simón del desierto,Luis Buñuel,1965,
2011-08-17,Stromboli,Roberto Rossellini,1950,
2011-08-18,Whisky,Juan Pablo Rebella,2004,
2011-08-20,Luna nueva (His Girl Friday),Howard Hawks,1940,
2011-08-21,Rashomon,Akira Kurosawa,1950,
2011-08-22,Primera plana,Billy Wilder,1974,
2011-08-24,XXY,Lucía Puenzo,2007,
2011-08-26,La historia oficial,Luis Puenzo,1985,4
2011-08-27,El río,Jean Renoir,1951,5
2011-08-30,Vivir su vida,Jean Luc Godard,1962,4
2011-08-31,Breve encuentro,David Lean,1945,
2011-09-03,El sueño eterno,Howard Hawks,1946,
2011-09-04,Cayo Largo,John Huston,1948,
2011-09-09,Viaggio in Italia,Roberto Rossellini,1954,5
2011-09-10,"Roma, ciudad abierta",Roberto Rossellini,1945,
2011-09-16,L'Atlante,Jean Vigo,1934,4
2011-09-25,La aventura,Michelangelo Antonioni,1960,
