id,municipality
001,Abaltzisketa
002,Aduna
016,Aia
003,Aizarnazabal
004,Albiztur
005,Alegia
006,Alkiza
906,Altzaga
007,Altzo
008,Amezketa
009,Andoain
010,Anoeta
011,Antzuola
012,Arama
013,Aretxabaleta
055,Arrasate/Mondragón
014,Asteasu
903,Astigarraga
015,Ataun
017,Azkoitia
018,Azpeitia
904,Baliarrain
019,Beasain
020,Beizama
021,Belauntza
022,Berastegi
074,Bergara
023,Berrobi
024,Bidania-Goiatz
029,Deba
069,Donostia / San Sebastián
030,Eibar
031,Elduain
033,Elgeta
032,Elgoibar
067,Errenteria
066,Errezil
034,Eskoriatza
035,Ezkio-Itsaso
038,Gabiria
037,Gaintza
907,Gaztelu
039,Getaria
040,Hernani
041,Hernialde
036,Hondarribia
042,Ibarra
043,Idiazabal
044,Ikaztegieta
045,Irun
046,Irura
047,Itsasondo
048,Larraul
902,Lasarte-Oria
049,Lazkao
050,Leaburu
051,Legazpi
052,Legorreta
068,Leintz Gatzaga
053,Lezo
054,Lizartza
901,Mendaro
057,Mutiloa
056,Mutriku
063,Oiartzun
058,Olaberria
059,Oñati
076,Ordizia
905,Orendain
060,Orexa
061,Orio
062,Ormaiztegi
064,Pasaia
070,Segura
065,Soraluze-Placencia de las Armas
071,Tolosa
072,Urnieta
077,Urretxu
073,Usurbil
075,Villabona
078,Zaldibia
079,Zarautz
025,Zegama
026,Zerain
027,Zestoa
028,Zizurkil
081,Zumaia
080,Zumarraga
