date,pax,from,region,type,notes
2016-12-31,63,Australia,,,Taldean
2016-12-31,54,USA,,,Taldean
2016-12-31,23,Italy,,,Taldean
2016-12-31,15,Philippines,,,Taldean
2016-12-31,144,Spain,Euskadi,,Bakarka
2016-12-31,85,Spain,,,Bakarka
2016-12-31,46,Europe,,,Bakarka
2016-12-31,11,USA,,,Bakarka
2016-12-31,9,Asia,,,Bakarka
2017-12-31,10,Australia,,,Taldean
2017-12-31,61,USA,,,Taldean
2017-12-31,25,Singapore,,,Taldean
2017-12-31,103,Spain,Euskadi,,Bakarka
2017-12-31,43,Spain,,,Bakarka
2017-12-31,39,Europe,,,Bakarka
2017-12-31,4,USA,,,Bakarka
2017-12-31,2,Australia,,,Bakarka
2018-12-31,48,Australia,,,Taldean
2018-12-31,25,USA,,,Taldean
2018-12-31,15,UK,Scotland,,Taldean
2018-12-31,30,Italy,,,Taldean
2018-12-31,60,Spain,Jaen,,Taldean
2018-12-31,22,Malta,,,Taldean
2018-12-31,35,Colombia,,,Taldean
2018-12-31,54,Spain,Euskadi,,Bakarka
2018-12-31,16,Spain,,,Bakarka
2018-12-31,72,Europe,,,Bakarka
2018-12-31,14,USA,,,Bakarka
2019-01-31,0,,,,
2019-02-28,0,,,,
2019-03-02,1,Portugal,,foot,inaziotar bidea eta albergeak. 8 hilbate erromes bezela ibili ber du. Donostia - Zumaitik dator eta Inaziotar Bidea Logroñoaino ein ber du. Ondoren Donibane Garazira Donejakue bidetik. Donibane Garazitik pirineuek kruzau mediterraneoarte eta Bartzelonatik Logroñoa Inaziotar Bidie aldrebeska gero Santiago Compostela juteko!!!!!.
2019-03-05,1,Spain,Donostia,foot,Kredentziala. MARTXOAN Bidea egiten hasiko da. Gida badauka eta kredentzialan ingurun galdetzea etorri da.
2019-03-12,2,Spain,Manresa,,Gaur hasi dira
2019-03-23,1,USA,,run,inaziotar bidea Logroñoaino egin eta maiatzean itzuliko da osoa korrika egiteko. 
2019-03-31,3,Italy,,foot,"egingo dute, ez dakite noiz"
2019-03-30,2,France,,foot,Gaur hasiko dira dena egiten
2019-04-03,2,Germany,,,Gaur hasi
2019-04-04,1,Australia,,,Bihar hasi
2019-04-13,1,Australia,,,"Ingelesez. Batez ere, Euskal zatia. Astelehena 15 hasiko da. Osoa egiteko asmoa. Ez daukagu bera jarraitzeko modurik. Internetik gabe eta sare sozialik gabe. 7 aldiz egin du Santiago bidea. Behin Krakoviatik Triestera eta Veneciatik Romara"
2019-04-15,4,Germany,,,Gaur hasi dute
2019-04-15,2,Canada,,,Gaur hasi dira
2019-04-16,2,UK,,,Gaur hasi dira. Aizpurutxoaino oinez eta gero kotxez.
2019-04-27,1,Australia,,,Larunbatean hasiko da
2019-04-30,3,Spain,Oiartzun,,Egingo dute
2019-04-26,2,Italy,,,Bihar hasiko dira
2019-04-27,3,Spain,Araia,bike,Gazteleraz. Gaur hasi bizikletan eta hurrengo astean jarraitu Manresaraino egiteko asmoa
2019-05-01,2,Germany,,,Gaur hasi. Zaragozaraino doaz. Hurrengo batean jarraitzeko
2019-05-31,2,France,,,Maiatzean hasiko dira egiten.
2019-05-27,1,France,,,Bus ordutegiak Loiolara etortzekoe ta alojamenduen inf. Manresaraino joateko asmoa oinez
2019-05-02,17,Switzerland,,bus,Ez dakit dana egingo duten
2019-05-04,4,USA,,,Iberian Adventuresek antolatuta. Lleidaraino oinez eta Montserratera trenean. Maiatzak 5 hasiko dira.
2019-05-09,4,Germany,,,Etapa 0ko alojamentua. Albergea. Oinez osoa egin nahi. Akaso Zaragozaraino egingo dute 4 aste eduki arren. Maiatzak 10ean hasi.
2019-05-11,3,Libano,,,Informazio orokorra. Oinez Araiaraino. Busean Verdú - Igualadaraino eta gero azken etapak oinez egiteko.  Maiatzaren 11 ean hasiko dira. 
2019-05-12,2,Germany,,,"Kredentziala. Bizikletan Montserrateraino. Handik Bartzelonara, ez Manresara. Zatiren bat trenean."
2019-05-14,12,Singapore,,,Azpeitiko etapa 0 informazioa. Singapureko taldea. Jesuitak antolatuta. Oinez doaz Logroño alderaino. 
2019-05-25,1,Germany,,,"Bihar hasiko da, osoa egingo du"
2019-05-28,1,France,,,Bihar hasi osoa
2019-05-29,1,France,,,Bihar hasi osoa
2019-05-30,1,Spain,Barcelona,,Bihar hasi osoa
2019-05-30,2,Holland,,,Bihar hasi osoa
2019-06-05,1,Philippines,,,"Ostatuak. Oinez, guztia egiteko asmotan. Santiago bidetik dator. Amaitu aurretik."
2019-06-05,3,USA,,,Bihar hasiko dira
2019-06-07,20,Philippines,,,Iriberrirekin
2019-06-14,2,Germany,,,"Orokorra. Oinez, Donejakue egitetik datoz."
2019-06-15,1,Spain,Barcelona,,Bizikletan gaur hasi
2019-06-15,10,Spain,Gipuzkoa,,Lehenengo bi etapak gaur hasi
2019-06-15,1,USA,,,Bihar hasiko da
2019-06-27,2,Germany,,,Albergueak. Gaur hasi dira
2019-06-30,1,Japan,,,"Albergeak, kredentziala, info. Gaur hasi da."
2019-07-13,2,Spain,Madrid,,0 etapan lo egiteko. Ez dakite zenbat egingo duten. Gogortasuna eta albergeak dauden arabera
2019-07-05,1,Italy,,,Informazio guztia. Osoa egiteko asmotan. Uztailak 6an hasiko du. 
2019-07-06,2,UK,,,Manresatik abiatu eta bidea egin dute Loiolaraino. 
2019-07-08,2,Germany,,,Kerdentziala eta 0 etapa. Osoa egiteko asmoa. Uztailaren 9an hasi.
2019-07-08,2,Spain,Valencia,,Lehen etapen informazioa. Uztailaren 9an hasi. Laguardiaraino egiteko asmoa.
2019-07-10,2,France,,,Osoa egiteko asmoa. Uztailak 10ean hasi oinez
2019-07-10,1,Germany,,,Osoa egiteko asmoa. Uztailak 10ean hasi oinez
2019-07-10,1,Belgium,,,Osoa egiteko asmoa. Uztailak 10ean hasi oinez
2019-07-15,1,Spain,,,"Lehen etapen informazioa. Uztailaren 15an hasi. Araiaraino egiteko asmoa, osoa hurrengo batean."
2019-07-15,1,France,,,Osoa egiteko asmoa. Uztailak 15ean hasi oinez
2019-07-17,1,Spain,Azpeitia,,Bizikletaz osoa egingo du
2019-07-18,2,France,,,"Bizikletaz, lehen bi etapak egingo dituzte."
2019-07-21,7,Spain,Canarias,,"Oinez, logroñoraino. Uztailak 22an hasi"
2019-07-21,2,Italy,,,Viaja al sur bidai agentziako 2. Oinez zati batzuk egin behar turistei saltzeko prestatzen ari dira. Uzt 22 hasi
2019-07-21,1,Canada,,,Bilbotik oinez iritsi da inaziotar bidea hasteko asmotan. Uztailaren 22an hasiko du osoa eta oinez. 
2019-07-22,1,Canada,,,Gaur irtengo da Inaziotar bidea egitera.
2019-07-22,4,Spain,Euskadi,,Lehen etapari buruz informazioa galdetu dute. Hurrengo batean/urtean egitekotan
2019-07-22,4,Germany,,,"Manresara doaz kotxean, napar aldetik. Agian urteren batean IB egingo dute eta info/mapak hartu dituzte"
2019-07-25,8,Spain,Cataluña,,Gaur hasiko dira osoa
2019-07-26,2,Spain,Cataluña,info,"Manresatik etorri dira, Gipuzkoari buruz galdetu dute baina kostaldea ez. Inaziotar bideari buruz azaletik galdetu dute agian egingo ote duten baina osoa ez."
2019-07-26,2,France,,,"Loiolari buruz info, eta Inaziotar bideari buruz azaleko info. "
2019-08-01,1,France,,foot,
2019-08-02,2,Spain,Madrid,,Inaziotar bidearen mapa eskatu du lagunarentzat.
2019-08-02,2,Spain,Euskadi,foot,
2019-08-03,30,France,,foot,Gaur 4retan hasiko dira. Goizean etorritako frantzes batek aipatu du. Gia batekin doaz.
2019-08-03,2,Spain,Girona,foot,Kredentzial eske. Gaur hastekotan
2019-08-03,3,Italy,,info,"Inguruko info bila etorri dira eta foiletoa ikusi ondoren, IB-a zer den galdezka."
2019-08-31,2,Spain,Cataluña,bike,Gaur hasi behar dute.
2019-08-09,2,Spain,Azpeitia,bike,Gaur hasi egiten bizikletan
2019-08-15,2,Holland,,foot,Gaur hasi
2019-08-16,3,Spain,Oiartzun,info,2020ko Martxoan hasiko dira ziurrenik.
2019-08-17,2,Germany,,foot,"Arratsaldeko 7retan, ertetzear nengoela etorri dira bihar 18, goizez abiatuko direla."
2019-08-19,1,Spain,Donostia,info,Ea Inaziotarbidearen mapa osoa genuen galdezka.
2019-08-23,1,Spain,Madrid,info,Albergeak puntu guztietan ba ote diren.
2019-08-24,1,Belgium,,foot,"Bihar hasi, 19.08.25"
2019-08-24,1,Germany,,foot,Bihar hasi 19.08.25
2019-08-25,2,Spain,Badalona,foot,"Bihar hasi, 19.08.26"
2019-08-26,1,Spain,Madrid,foot,"Bihar hasi, 19.08.27"
2019-08-26,3,Libano,,info,Datorren urtean egiteko asmoa
2019-08-26,2,France,,foot,"Bihar hasi, 19.08.31"
2019-08-31,2,Spain,Errenteria,info,
2019-08-31,1,Japan,,info,
2019-09-01,2,Germany,,,Egingo dute
2019-09-01,1,Spain,Azpeitia,,Egingo dute
2019-09-01,2,Spain,Azpeitia,info,Agian egiteko asmoa
2019-09-01,2,Germany,,foot,"Bihar hasi, 19.09.02"
2019-09-04,1,Germany,,foot,"Bihar hasi, 19.09.05"
2019-09-06,2,Holland,,foot,Gaur hasi
2019-09-09,2,Spain,Legazpi,,Egingo dute
2019-09-13,2,USA,,foot,"Ostatuak. Bihar hasi, 19.09.14"
2019-09-13,2,Germany,,foot,"Bihar hasi, 19.09.14"
2019-09-14,1,Germany,,foot,Ostatuak/garraioa. Bueltatzeko. Gaur hasi
2019-09-16,1,Spain,Zaldibar,foot,Egiteko asmoa
2019-09-17,1,Poland,,foot,Info. Gaur hasi
2019-09-21,2,Canada,,foot,"Mapak. Gaur hasi, 3 templuak, IB osoa beste batean agian"
2019-09-22,1,Spain,Azpeitia,info,Mapak. Orain egiten ari den bati maparen argazkia bidaltzera etorri da. Datorren astean talde batekin etorriko omen da
2019-09-23,20,Philippines,,foot,"Mapak.  Gaur hasi. Imanol Goikoetxea, Slow walking."
2019-09-25,1,Spain,,foot,Mapak.  Bihar hasi
2019-09-25,1,Russia,St. Petersburg,foot,Mapak.  Bihar hasi
2019-09-25,1,Germany,,foot,Mapak.  Bihar hasi
2019-09-27,1,Spain,Arrasate,foot,Mapak.  Gaur hasi
2019-10-02,1,USA,,foot,
2019-10-11,1,Spain,Azpeitia,,"Info, Arantzazutik Araiara gidakin"
2019-10-13,2,USA,,,Info bakarrik. Azkoitiraino egingo dute gaurkoz
2019-10-25,1,Spain,Azpeitia,,"Juxti, ea noiz arte dagoen epea apuntatzeko Araiarainoko ibilbidean. "
2019-10-25,1,Spain,Estella,foot,Ostatu+mapak. Gaur hasi
2019-10-25,4,Austria,,,Info bakarrik momentuz
2019-11-30,0,,,,
2019-12-31,0,,,,
2020-01-31,0,,,,
2020-02-20,1,Spain,Aragon,,Bihar hasi
2020-02-24,1,Germany,,,Bihar hasi
2020-03-31,0,,,,
2020-04-30,0,,,,
2020-05-31,0,,,,
2020-06-30,0,,,,
2020-07-20,2,Spain,Madrid,,Egin
2020-07-28,2,Spain,Cataluña,,Egin
2020-07-31,1,Spain,Guadalajara,,Egin
2020-08-07,3,Spain,Donostia,,Egin
2020-08-07,2,Spain,Tarragona,,Egin
2020-09-30,0,,,,
2020-10-31,0,,,,
2020-11-30,0,,,,
2020-12-31,0,,,,
2021-01-01,6,Spain,Euskadi,,
2021-01-01,2,Spain,Galicia,,
2021-02-28,0,,,,
2021-03-01,13,Spain,Euskadi,,
2021-04-01,34,Spain,Euskadi,,
2021-04-01,1,Spain,Madrid,,
2021-04-01,2,USA,,,
2021-05-01,3,Spain,Euskadi,,
2021-05-01,5,Spain,Cataluña,,
2021-05-01,4,Spain,Madrid,,
2021-06-01,21,Spain,Euskadi,,
2021-06-01,12,Spain,Cataluña,,
2021-06-01,6,Spain,Madrid,,
2021-06-01,2,Spain,Cas. Mancha,,
2021-06-01,2,Spain,Valencia,,
2021-06-01,1,Spain,Galicia,,
2021-06-01,3,Spain,Navarra,,
2021-06-01,2,Germany,,,
2021-06-01,1,Argentina,,,
2021-06-01,1,France,,,
2021-06-01,1,UK,,,
2021-06-01,1,Sweden,,,
2021-07-01,35,Spain,Euskadi,,
2021-07-01,4,Spain,Aragon,,
2021-07-01,3,Spain,Cas. Mancha,,
2021-07-01,9,Spain,Cataluña,,
2021-07-01,3,Spain,Valencia,,
2021-07-01,1,Spain,Extremadura,,
2021-07-01,4,Spain,Canarias,,
2021-07-01,4,Spain,Madrid,,
2021-07-01,4,Spain,Murcia,,
2021-07-01,4,Germany,,,
2021-07-01,3,Austria,,,
2021-07-01,1,Belgium,,,
2021-07-01,2,Canada,,,
2021-07-01,1,Eslovenia,,,
2021-07-01,4,France,,,
2021-07-01,1,Ireland,,,
2021-07-01,1,Italy,,,
2021-07-01,1,Mexico,,,
2021-07-01,1,UK,,,
2021-08-01,16,Spain,Euskadi,,
2021-08-01,5,Spain,Aragon,,
2021-08-01,4,Spain,Cas. Mancha,,
2021-08-01,20,Spain,Cataluña,,
2021-08-01,1,Spain,Valencia,,
2021-08-01,17,Spain,Madrid,,
2021-08-01,2,Spain,Navarra,,
2021-08-01,1,Brazil,,,
2021-08-01,7,France,,,
2021-08-01,6,Italy,,,
2021-09-30,0,,,,
2021-10-31,0,,,,
2021-11-30,0,,,,
2021-12-31,0,,,,
2022-01-01,4,Spain,Galdakao,info,"Informazioa eske urtarrilean deitu, udaran burutuko dute "
2022-01-31,0,,,,
2022-02-28,0,,,,
2022-03-31,0,,,,
2022-04-01,1,Spain,Azpeitia,bike,14an
2022-04-01,2,Italy,,foot,"5an irten, 4an info eske etorri ziren"
2022-04-01,1,Guatemala,,foot,7an irten
2022-04-01,4,France,,foot,14an irten
2022-04-01,1,France,,foot,"16 edo 17, emailez info gehiago"
2022-04-01,2,Spain,Galdakao,bike,14 erten
2022-04-01,6,France,,foot,14 erten
2022-04-01,1,France,,foot,Alrebeska egin du.
2022-04-01,1,Australia,,foot,18an
2022-04-01,2,USA,,foot,20an hasi
2022-04-01,2,USA,,foot,21ean hasi
2022-04-01,1,Germany,,foot,23an erten
2022-04-01,2,France,,foot,23 an erten
2022-04-01,1,France,,foot,26 ien erten 
2022-04-01,2,Czech,,foot,25 ien erten
2022-04-01,1,Brazil,,foot,26 erten
2022-04-01,2,Belgium,,foot,1 oinez bestea karabanan. 28an hasi
2022-05-01,2,Spain,Azpeitia,bike,
2022-05-01,2,Spain,Donostia,bike,
2022-05-01,2,Spain,Azpeitia,foot,
2022-05-01,1,Spain,Elgoibar,bike,Info ta kredentzialak
2022-05-01,2,Spain,Asturias,foot,
2022-05-01,2,France,,foot,
2022-05-01,1,Spain,Donostia,bike,
2022-05-01,1,Spain,Azpeitia,foot,
2022-05-01,3,Spain,Azpeitia,foot,
2022-05-01,2,Spain,Tenerife,bike,2an hasi
2022-05-01,1,USA,,foot,2an hasi
2022-05-01,1,Canada,,foot,3an hasi
2022-05-01,10,UK,,info,Datorren urtean egiteko info
2022-05-01,2,Spain,Barcelona,bike,6an hasi
2022-05-01,1,Spain,Navarra,foot,7 an hasi
2022-05-01,1,Germany,,foot,7 an hasi
2022-05-01,1,Mexico,,foot,9an hasi
2022-05-01,10,Spain,Cataluña,bike,10 ean hasi
2022-05-01,2,Germany,,foot,10in hasi
2022-05-01,1,Poland,,foot,11ian hasi
2022-05-01,1,Norway,,foot,15ean hasi
2022-05-01,1,France,,foot,21ean hasi
2022-05-01,20,Switzerland,,bus,"Oinez eta buses. Maiatzak 21, 20 pax"
2022-05-01,2,France,,foot,23an hasi
2022-05-01,2,Holland,,foot,24an hasi
2022-05-01,1,Spain,Barcelona,foot,28an hasi
