,name_date,stars,text
0,"Carolinaon Nov 1, 2022",5 out of 5 stars,As usual the quality is sturdy yet elegant and the style is exquisite! The small hand fan matched the description perfectly. I'm fully satisfied and will now be able to cool myself easily in the office and on the train whilst looking very smart.
1,"Amy Annetteon Sep 3, 2022",5 out of 5 stars,"I bought this fan to bring to tango and swing dance events, and it is gorgeous! After a shipping snag outside of their control, Karmele provided fantastic communication and customer service to make sure the fan was delivered safe and sound. It was worth the wait!"
2,"Maryon Aug 31, 2022",5 out of 5 stars,"LOVELY!  I think this is my 4th fan? Compliments, always❤️"
3,"Eni Aon Aug 31, 2022",5 out of 5 stars,"Very beautiful fan, great quality and the color looks even better in real life. Thank you!"
4,"hredmondson Jun 11, 2022",5 out of 5 stars,"This is the second fan I've bought for myself from Karmele. The quality of her work is impeccable. The most chic, durable summer accessory!"
5,"Claudiaon Oct 20, 2021",5 out of 5 stars,Perfect as always!!! Very friendly communication and fast delivery.
6,"Judeon Jul 4, 2021",5 out of 5 stars,This is a beautiful and well made fan from Olelé. It joins the other beautiful five fans I have already bought from Karmele. I absolutely recommend her workmanship.
7,"Irison Jul 4, 2021",5 out of 5 stars,"Beautiful product, with beautiful beeaarhied so in my bag"
8,"Carleyon Jun 19, 2021",5 out of 5 stars,It’s so beautiful and worth every penny!! Thank you!
9,"blueleadfishon Oct 11, 2020",5 out of 5 stars,Beautiful fan and great quality. Also shipped very quickly!
10,"Kristinaon Sep 2, 2020",5 out of 5 stars,Beautiful fan. Wonderful quality and craftsmanship. Thank you!
11,"Kimberlyon Aug 10, 2020",5 out of 5 stars,
12,"Michelleon Aug 4, 2020",5 out of 5 stars,"I love this fan!
It’s just the perfect size for me. You wouldn’t believe how hard quality fans in different sizes. 
The fan is absolutely gorgeous! The fabric, staves(? I believe they are called) good and solid. No wobbling here. 
I’ll probably order another. I don’t need it, but want to have a backup. Lol"
13,"Eni Aon Jul 18, 2020",5 out of 5 stars,"This is the most beautiful and exciting fan I have ever bought. Everybody ask me where I got it! It’s strong, of excellent quality and with the exact same wax fabric used for a dress I bought in west Africa last year. I will regularly be buying from Olele going forward."
14,"Jazyon Jul 2, 2020",5 out of 5 stars,I wanted a small fan with a plain fabric for semi-formal events like weddings or funerals. This fan was beautifully made and packaged very well. The size is perfect for slipping into a small handbag or clutch. Very happy with my purchase.
15,"dutteluton Jun 25, 2020",5 out of 5 stars,"Beutifull made fan from Olele - I love it, thank you 😊"
16,"Jasonon Jun 4, 2020",5 out of 5 stars,Great fan. Delivered promptly. Good quality.
17,"Friedrichon Mar 22, 2020",5 out of 5 stars,"I was looking for the perfect fan for a man like me. Then I found Karmeles shop and this wonderfully beautiful accessory. And I was thrilled with him in a split of a second. Blue is my favorite color and the pattern immediately made me think of a night sky shining with thousands of stars. Bingo! Hit! It had to be! Karmele made the fan very clean and simply perfect. He is delivered in a very nice and fine dark blue leather pocket. So now I can keep him safely at all times. An absolutely perfect combination, in my opinion. I can't wait to use him on a sunny spring day. We had it yesterday, but with 5 degrees and cool wind... I am absolutely certain, that we will have warmer temperatures very soon. Now I wish Karmele continued success and that she and all her loved ones stay healthy. Kind regards, Friedrich"
18,"ReadingRightMeowon Mar 20, 2020",5 out of 5 stars,The most beautiful fans! Thank you.
19,"Suon Dec 13, 2019",5 out of 5 stars,Very beautiful and so well made. Just what I wanted.
20,"Sednahon Nov 19, 2019",1 out of 5 stars,Kamele came thought for us and I'm very pleased to say that she has excellant customer service. The fans are attention grabbing in the best way.  This is my 3rd fan and I will order more when the time comes. It also makes a great holiday gift.
