      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
        3846;  29/01/1928;    23:00:00;     43.3000;     -2.0000;         0.0;            ;            ;            ;SAN SEBASTIAN
        4180;  09/05/1935;    05:00:00;     43.3167;     -1.9833;         0.0;         III;            ;            ;SAN SEBASTIAN
        7220;  28/06/1972;    01:47:26;     43.1000;     -2.1000;         0.0;            ;         3.0;           2;TOLOSA.SS
        7471;  11/06/1974;    12:05:59;     43.3100;     -2.1400;         0.0;            ;         3.3;           2;NW ORIO.SS
        7766;  27/06/1976;    07:45:18;     43.0200;     -1.8600;         0.0;            ;         3.5;           2;NE MUGIRO.NA
        7990;  08/07/1978;    19:57:46;     42.9317;     -1.9217;         5.0;            ;         3.1;           2;NE IRAÑETA.NA
        8022;  23/09/1978;    04:51:31;     43.0767;     -2.3533;         5.0;            ;         3.6;           2;SE ANTZUOLA.SS
        8157;  01/04/1979;    19:04:29;     43.1817;     -2.2067;        10.0;            ;         3.4;           2;NW ERREZIL.SS
        9066;  21/05/1981;    17:44:29;     43.3000;     -2.3000;         0.0;            ;         2.5;           2;W ZUMAIA.SS
        9175;  02/10/1981;    17:49:17;     43.2000;     -2.3000;         0.0;            ;         2.9;           2;NE AZKOITIA.SS
        9292;  30/03/1982;    05:01:47;     42.9567;     -2.0000;        14.0;            ;         3.3;           2;N ARRUAZU.NA
        9293;  30/03/1982;    11:14:29;     42.9100;     -1.8817;         7.0;            ;         3.4;           2;SW EGIARRETA.NA
        9297;  03/04/1982;    16:03:16;     42.9317;     -1.8450;         5.0;            ;         3.0;           2;NE EGIARRETA.NA
        9306;  12/04/1982;    10:06:06;     42.9450;     -1.9150;         6.0;            ;         3.3;           2;NE IRAÑETA.NA
        9307;  12/04/1982;    11:20:31;     42.9067;     -1.8267;         5.0;            ;         3.0;           2;S IRURTZUN.NA
        9339;  15/05/1982;    10:33:14;     42.9050;     -1.8367;         5.0;            ;         3.3;           2;SW IRURTZUN.NA
        9348;  22/05/1982;    05:59:23;     42.9233;     -2.0433;        13.0;            ;         3.9;           2;NW ARBIZU.NA
        9349;  22/05/1982;    21:45:53;     42.9967;     -1.9767;         5.0;            ;            ;            ;S BETELU.NA
        9352;  23/05/1982;    20:45:43;     43.0750;     -2.0000;         5.0;            ;         3.4;           2;SE OREXA.SS
        9359;  29/05/1982;    03:55:08;     42.9733;     -1.9417;        14.0;            ;         3.4;           2;N IRAÑETA.NA
        9380;  22/06/1982;    20:18:32;     43.0333;     -1.8217;         5.0;            ;         3.0;           2;NW JAUNSARATS.NA
        9381;  22/06/1982;    20:24:05;     43.0217;     -1.9100;         5.0;            ;         3.2;           2;NW MUGIRO.NA
        9382;  22/06/1982;    22:20:21;     42.9117;     -1.7283;         5.0;            ;         3.2;           2;NW MARCALÁIN.NA
        9383;  23/06/1982;    01:04:14;     42.9083;     -1.8467;         5.0;            ;         3.1;           2;S EGIARRETA.NA
        9384;  23/06/1982;    01:22:18;     43.0050;     -1.7450;         5.0;            ;         3.5;           2;E JAUNSARATS.NA
        9386;  23/06/1982;    08:35:43;     42.8933;     -1.8883;         6.0;            ;         3.5;           2;NW OLLO.NA
        9492;  26/12/1982;    20:43:00;     43.0167;     -2.1033;        10.0;            ;         3.0;           2;S ABALTZISKETA.SS
        9499;  31/12/1982;    20:42:04;     42.9467;     -1.9633;         6.0;            ;         3.5;           2;N UHARTE-ARAKIL.NA
        9501;  31/12/1982;    20:52:36;     42.9067;     -1.9100;        10.0;            ;         2.8;           2;SE IRAÑETA.NA
        9505;  01/01/1983;    06:44:20;     42.9217;     -1.9350;         6.0;            ;         2.9;           2;SE IRAÑETA.NA
        9579;  01/05/1983;    09:41:39;     42.9117;     -1.9450;         5.0;            ;         3.2;           2;S IRAÑETA.NA
        9580;  06/05/1983;    14:23:30;     42.9483;     -1.9900;        10.0;            ;            ;            ;NE ARRUAZU.NA
        9583;  11/05/1983;    14:09:19;     42.9200;     -1.8233;         5.0;            ;         3.3;           2;E IRURTZUN.NA
        9586;  30/05/1983;    05:36:30;     43.3533;     -1.7700;        30.0;            ;         3.1;           2;SW HENDAYE.FRA
        9648;  21/01/1984;    00:31:17;     43.0633;     -2.1950;        10.0;            ;            ;            ;N BEASAIN.SS
        9673;  19/03/1984;    00:34:20;     43.0300;     -2.2133;        30.0;            ;         3.0;           2;W OLABERRIA.SS
        9674;  19/03/1984;    01:03:47;     42.9400;     -2.0750;         9.0;            ;         2.7;           2;NW ARBIZU.NA
        9704;  13/06/1984;    08:21:37;     42.9317;     -2.0850;        23.0;            ;         2.7;           2;NW ETXARRI-ARANATZ.NA
        9705;  13/06/1984;    12:00:54;     43.0533;     -2.2150;        13.0;            ;         2.8;           2;W BEASAIN.SS
        9707;  14/06/1984;    00:45:43;     42.9550;     -2.0400;        14.0;            ;         2.6;           2;NW LAKUNTZA.NA
        9939;  05/04/1985;    05:18:31;     42.9200;     -2.0133;        21.0;            ;         2.8;           2;W ARRUAZU.NA
       10013;  29/05/1985;    01:32:00;     43.1883;     -2.4083;         6.0;         III;         3.2;           2;N SORALUZE-PLACENCIA DE LAS ARMAS.SS
       10186;  03/02/1986;    10:20:49;     42.9800;     -2.0683;        10.0;            ;         3.2;           2;S AMEZKETA.SS
       10940;  27/07/1988;    16:25:18;     43.2833;     -2.1667;         0.0;         III;         2.7;           2;ZARAUZ.SS
       11164;  05/03/1989;    17:46:18;     43.0083;     -2.1917;        11.0;            ;         3.2;           2;W SAN MARTIN.SS
       11788;  02/06/1990;    14:43:18;     43.1033;     -1.8183;         7.0;            ;         2.8;           2;NW ERATSUN.NA
       12078;  10/04/1991;    09:25:53;     43.0283;     -2.1667;         2.0;            ;         2.8;           2;NE SAN MARTIN.SS
