Fecha,volume
2021-01-04,6929
2021-01-05,7398
2021-01-06,3466
2021-01-07,9676
2021-01-08,9781
2021-01-09,3445
2021-01-10,2334
2021-01-11,9847
2021-01-12,10538
2021-01-13,10520
2021-01-14,10686
2021-01-15,10324
2021-01-16,5550
2021-01-17,3445
2021-01-18,10300
2021-01-19,10789
2021-01-20,10528
2021-01-21,10692
2021-01-22,10264
2021-01-23,4553
2021-01-24,2880
2021-01-25,9078
2021-01-26,9420
2021-01-27,9530
2021-01-28,9503
2021-01-29,9285
2021-01-30,2982
2021-01-31,1707
2021-02-01,9357
2021-02-02,9332
2021-02-03,9411
2021-02-04,9500
2021-02-05,9173
2021-02-06,2865
2021-02-07,1727
2021-02-08,9243
2021-02-09,9538
2021-02-10,9629
2021-02-11,9631
2021-02-12,9127
2021-02-13,3211
2021-02-14,2128
2021-02-15,9542
2021-02-16,9804
2021-02-17,9955
2021-02-18,10176
2021-02-19,9988
2021-02-20,4344
2021-02-21,2843
2021-02-22,9863
2021-02-23,10367
2021-02-24,10202
2021-02-25,10354
2021-02-26,10131
2021-02-27,4533
2021-02-28,2983
2021-03-01,10114
2021-03-02,10400
2021-03-03,10680
2021-03-04,10657
2021-03-05,10198
2021-03-06,4455
2021-03-07,2978
2021-03-08,10082
2021-03-09,11149
2021-03-10,11206
2021-03-11,11160
2021-03-12,11133
2021-03-13,6637
2021-03-14,4062
2021-03-15,10704
2021-03-16,10679
2021-03-17,11116
2021-03-18,11182
2021-03-19,3960
2021-03-20,5459
2021-03-21,4017
2021-03-22,10648
2021-03-23,11028
2021-03-24,10972
2021-03-25,11244
2021-03-26,11042
2021-03-27,6106
2021-03-28,5473
2021-03-29,10132
2021-03-30,10586
2021-03-31,10880
2021-04-01,4682
2021-04-02,4463
2021-04-03,5547
2021-04-04,4288
2021-04-05,5007
2021-04-06,9534
2021-04-07,8688
2021-04-08,9030
2021-04-09,8754
2021-04-10,4149
2021-04-11,2918
2021-04-12,10076
2021-04-13,9843
2021-04-14,10190
2021-04-15,10110
2021-04-16,9820
2021-04-17,4008
2021-04-18,2568
2021-04-19,9890
2021-04-20,10196
2021-04-21,10113
2021-04-22,9909
2021-04-23,10109
2021-04-24,4157
2021-04-25,2611
2021-04-26,9926
2021-04-27,10210
2021-04-28,10010
2021-04-29,9825
2021-04-30,10216
2021-05-01,3881
2021-05-02,2852
2021-05-03,7964
2021-05-04,10056
2021-05-05,10258
2021-05-06,10168
2021-05-07,10082
2021-05-08,4370
2021-05-09,4108
2021-05-10,11011
2021-05-11,11092
2021-05-12,10879
2021-05-13,10891
2021-05-14,11074
2021-05-15,5529
2021-05-16,4032
2021-05-17,10514
2021-05-18,10812
2021-05-19,10967
2021-05-20,11326
2021-05-21,10708
2021-05-22,5336
2021-05-23,4704
2021-05-24,10569
2021-05-25,10630
2021-05-26,11210
2021-05-27,11250
2021-05-28,10908
2021-05-29,6255
2021-05-30,5030
2021-05-31,10952
2021-06-01,11191
2021-06-02,11199
2021-06-03,11041
2021-06-04,10967
2021-06-05,5662
2021-06-06,4666
2021-06-07,10914
2021-06-08,11103
2021-06-09,11504
2021-06-10,11375
2021-06-11,11148
2021-06-12,5734
2021-06-13,5063
2021-06-14,11177
2021-06-15,11207
2021-06-16,11443
2021-06-17,11343
2021-06-18,11169
2021-06-19,5593
2021-06-20,5142
2021-06-21,10673
2021-06-22,10949
2021-06-23,11464
2021-06-24,10563
2021-06-25,10726
2021-06-26,5551
2021-06-27,4463
2021-06-28,10906
2021-06-29,11032
2021-06-30,11274
2021-07-01,10966
2021-07-02,9714
2021-07-03,5455
2021-07-04,4608
2021-07-05,10374
2021-07-06,10662
2021-07-07,10726
2021-07-08,10882
2021-07-09,10762
2021-07-10,5598
2021-07-11,4981
2021-07-12,10383
2021-07-13,10516
2021-07-14,10875
2021-07-15,10658
2021-07-16,10486
2021-07-17,5520
2021-07-18,4926
2021-07-19,10487
2021-07-20,10669
2021-07-21,10892
2021-07-22,10683
2021-07-23,10424
2021-07-24,5480
2021-07-25,4405
2021-07-26,9921
2021-07-27,10125
2021-07-28,10206
2021-07-29,10319
2021-07-30,9910
2021-07-31,4155
2021-08-01,4191
2021-08-02,7876
2021-08-03,7762
2021-08-04,7516
2021-08-05,7556
2021-08-06,7008
2021-08-07,4120
2021-08-08,5267
2021-08-09,5439
2021-08-10,5507
2021-08-11,5435
2021-08-12,5216
2021-08-13,5423
2021-08-14,3730
2021-08-15,3018
2021-08-16,4844
2021-08-17,5011
2021-08-18,5125
2021-08-19,5003
2021-08-20,5287
2021-08-21,3597
2021-08-22,3299
2021-08-23,6337
2021-08-24,6525
2021-08-25,6842
2021-08-26,7277
2021-08-27,7214
2021-08-28,4641
2021-08-29,4401
2021-08-30,8947
2021-08-31,9365
2021-09-01,10167
2021-09-02,10226
2021-09-03,10361
2021-09-04,5562
2021-09-05,4995
2021-09-06,10475
2021-09-07,10964
2021-09-08,11092
2021-09-09,10895
2021-09-10,10655
2021-09-11,5888
2021-09-12,4964
2021-09-13,10553
2021-09-14,11002
2021-09-15,11192
2021-09-16,10969
2021-09-17,10922
2021-09-18,5496
2021-09-19,4724
2021-09-20,9747
2021-09-21,10968
2021-09-22,11361
2021-09-23,11156
2021-09-24,10767
2021-09-25,5837
2021-09-26,4850
2021-09-27,10687
2021-09-28,10817
2021-09-29,10829
