Google Translate,Helsinki-NLP,OpenAI GPT
"There is no such thing, at this stage in world history in the United States, as an independent press. You know it and I know it. There is not a single one of you who dares to write your honest opinions and if you did we know in advance that it would never appear in the press. I get paid every week to keep my honest opinions out of the newspaper I'm associated with. Others of you are paid similar salaries for similar things and any of you who would be foolish enough to write honest opinions would be out on the streets looking for another job. If my honest opinions were allowed to appear in an edition of my newspapers, within twenty-four hours, my occupation would already be gone. The business of journalists is to destroy the truth, openly lie, pervert, demonize, bow at the feet of the rich, and sell their country and their race for their daily bread. You know it and I know it, and how crazy is this to toast an independent press? We are jumping clowns, they pull the strings and we dance. Our talents, our possibilities and our lives are all the property of other men. We are intellectual prostitutes.","There is no such thing, at this stage in the history of the world in the United States, something like an independent press. You know it and I know it. There is not one of you who dares to write your honest opinions and if you did we know in advance that it would never come out in the press. I am paid every week to keep my honest opinions out of the newspaper with which I am related. Others of you are paid similar wages for similar things and any of you who would like to be so foolish as to write honest opinions would walk through the streets looking for another job. If my honest opinions were allowed to appear in a newspaper edition, before twenty-four hours, my occupation would have disappeared. The business of journalists is to destroy the truth, openly lie, pervert, satanize, bowing to the feet of the rich, and sell to their country and race for their daily bread. You know it and I know it, and what madness is this to provide for an independent press? We are jumping clowns, they move the threads and we dance. Our talents, our possibilities and our lives are all the property of other men. We are intellectual prostitutes.","There is no such thing, at this stage in the history of the world in the United States, as independent press. You know it and I know it. Not one of you dares to write your honest opinions, and if you did, we know beforehand that it would never see the light of day in the press. I am paid every week to keep my honest opinions out of the paper I am connected with. Others of you are paid similar salaries for similar things, and any of you who would be so foolish as to write honest opinions would be out on the streets looking for another job. If I allowed my honest opinions to appear in one issue of my paper, before twenty-four hours my occupation would be gone. The business of the journalists is to destroy the truth, to lie outright, to pervert, to vilify, to fawn at the feet of the rich, and to sell their country and their race for their daily bread. You know it and I know it, and what folly is this toasting an independent press? We are the tools and vassals of rich men behind the scenes. We are the jumping jacks, they pull the strings and we dance. Our talents, our possibilities and our lives are all the property of other men. We are intellectual prostitutes."
"I know a few things about reading when it comes to Filipinos. When many Filipinos read, especially the elite, they read in English, even though they commonly speak in an indigenous language every day. The Philippines is very aural-oral when it comes to the indigenous language. There are, however, some comics and other literature in Tagalog for the masses. Many Filipinos don't really want to read in English as it may not appeal to them, so they rarely read but instead watch television, videos or movies, most commonly in the indigenous language. I suspect that Roman letters do not appeal to some Filipinos. Tagalog is no longer written in the ancient Baybayin script, but the Unicode standard preserves the syllabograms. Tagalog literature is not yet very extensive, as is the neighboring Indonesian literature. English is like a pink fizzy soda, while Tagalog is like a yellowish-brown cassava cake. (Some French have expressed that Tagalog is more like a gray shark in the sea. But I could imagine some Italians equating Tagalog with squid ink spaghetti. Maybe Tagalog is like the Spanish ""ham of pata negra"" , an expensive delicacy.)","I know some things about reading when it comes to Filipinos. When many Filipinos read, especially the elite, they read in English, even though they commonly speak in an indigenous language every day. The Philippines is very aural-oral when it comes to the indigenous language. There are, however, some comics and other literature in Tagalog for the masses. Many Filipinos really don’t want to read in English, as it may not appeal to them, so they rarely read, but they watch television, videos or cinema, more commonly in the indigenous language. I suspect that Roman letters don’t attract some Filipinos. Tagalog is no longer written in the old Baybayin script, but the Unicode standard preserves sylabograms. Tagalog literature is still not very broad, as is neighboring Indonesian literature. English is like a pink soda with gas, while Tagalog is like a yellow brown mandioc cake. (Some French have expressed that Tagalog is more like a grey shark in the sea. But I could imagine English is like a tagaloon.","I know some things about reading when it comes to Filipinos. When many Filipinos read, especially the elite, they read in English, even though they commonly speak an indigenous language every day. The Philippines is very aural-oral when it comes to the indigenous language. However, there are some comics and other literature in Tagalog for the masses. Many Filipinos really do not want to read in English, as it may not appeal to them, so they rarely read, but watch television, videos, or movies, more commonly in the indigenous language. I suspect that Roman letters do not attract some Filipinos. Tagalog is no longer written in the old Baybayin script, but Unicode standard preserves the syllabograms. Tagalog literature is still not very extensive, as is the neighboring Indonesian literature. English is like a pink carbonated drink, while Tagalog is like a yellowish-brown cassava cake. (Some French people have expressed that Tagalog is more like a gray shark in the sea. But I could imagine some Italians equating Tagalog with squid ink spaghetti. Perhaps, Tagalog is like the Spanish ""jamón de pata negra,"" an expensive delicacy.)"
"Three hours later, the king was wandering around the castle, looking for something to entertain himself. ""Fucking, I'm so bored,"" he complained in exasperation. ""The children are at school. Gwo is at work. Impa is at the hospital. Ganon—"" Suddenly, the king heard an incomprehensible scream, turned around and saw Fari rush past him. ""Damn, Fari, what was that?!"" ""Go to hell, your Majesty!"" Fari screamed at the top of his lungs. ""Wow... I see you're PMSing as usual,"" the King continued to murmur dejectedly. ""Damn, I'm fucking bored. There's nothing good on TV. Nothing good online. Nothing good to eat."" About to leave the dining room, his eyes were drawn to a single jar of cinnamon on the table. There was a spoonful of cinnamon conveniently on the side. In a more rational state, the King would have been reasonably suspicious of it, but now he was so exhausted from boredom that any chance to be relieved of it for a minute would feel like a blessing. ""I wonder what ground cinnamon tastes like,"" he said nonchalantly and popped the spoon into his mouth.","Three hours later, the king was prowling around the castle, looking for something to entertain himself with. ""Bitch mother, I'm so bored,"" he complained with exasperation. ""The children are in school. Gwo is chambeando. Impa is in the hospital. Ganon—"" Suddenly, the king heard an incomprehensible cry, turned around and saw Fari move him to one side in a hurry. ""Damn it, Fari, what was that?!"" ""Go to the cock, Your Majesty!"" Fari screamed at every lung. ""Go ... I see you walk with premenstrual syndrome as usual,"" the King continued to murmur with discouragement. ""Chincado, I'm fine bored. There's nothing good on TV. Nothing good on line. Nothing good to eat."" About to get out of the dining room, his eyes were drawn by a single jar of cinnamon on the table. There was a spoon conveniently on one side. In a more rational state, the King would have been reasonably suspicious of it, but now he was so bored by any chance of it. ""I would feel like it.""","Three hours later, the king was wandering around the castle, looking for something to entertain himself. ""Damn it, I'm so bored,"" he complained exasperatedly. ""The kids are at school. Gwo is working. Impa is at the hospital. Ganon—"" Suddenly, the king heard an incomprehensible scream, turned around, and saw Fari rushing past him. ""Damn it, Fari, what was that?!"" ""Go to hell, Your Majesty!"" Fari shouted at the top of his lungs. ""Well... I see you're in your usual premenstrual syndrome mood,"" the King continued disheartenedly. ""Damn, I'm so damn bored. There's nothing good on TV. Nothing good online. Nothing good to eat."" About to leave the dining room, his eyes were drawn to a single jar of cinnamon on the table. There was a spoonful of cinnamon conveniently placed next to it. In a more rational state, the King would have been reasonably suspicious of it, but now he was so exhausted from boredom that any opportunity to relieve himself from it for a minute would feel like a blessing. ""I wonder what ground cinnamon tastes like,"" he said indifferently and put the spoon in his mouth."
"As far as I understand, despite my little knowledge, here in Venezuela one adapts to the mentality and social order that prevails, therefore the individual must live between opportunism, poverty, manipulation and superficiality. Perhaps it is a characteristic of the Latin idiosyncrasy to behave in delicate situations as in the book <Chronicles of a Death Foretold> by Gabriel García Márquez, everyone knows what is happening but no one raises their voice or even if someone deigns to speak out, I would not receive support. Only enlightenment through education could put an end to the ignorance that plagues the people, and from which many other evils arise. However, it is implausible to expect a government to propose encouraging values ​​that go against their interests, since it is better for them to keep society ignorant so they can manipulate it easily.","As far as I understand in spite of my little knowledge, here in Venezuela one adapts to the mentality and social order that prevails, therefore the individual must live between opportunism, poverty, manipulation and superficiality. Perhaps it is a characteristic characteristic of Latin idiosyncrasy to behave in the delicate situations as in the book <Chronicles of an announced death> of Gabriel García Márquez, everyone knows what happens but no one raises their voice or even if someone deigns to speak out, would not receive support. Only the illustration through education could end the ignorance that plagues the people, and from which many other evils are derived. However, it is unlikely to expect that a government proposes to incentiate values that attack their interests, since it is better for them to keep the ignorant society in order to manipulate it easily.","As far as I understand, despite my limited knowledge, here in Venezuela one must adapt to the prevailing mentality and social order; therefore, individuals must live amidst opportunism, poverty, manipulation, and superficiality. Perhaps it is a characteristic of Latin American idiosyncrasy to behave in delicate situations as in the book ""Chronicle of a Death Foretold"" by Gabriel García Márquez, where everyone knows what is happening but no one speaks up, and even if someone were to dare to do so, they would not receive support. Only through education could ignorance, which afflicts the people and leads to many other evils, be eradicated. However, it is unrealistic to expect a government to propose promoting values that go against its interests, as it is more convenient for them to keep society ignorant in order to manipulate it easily."
"Well, of course the people don't want war. Why would some poor oaf on a farm want to risk his life in a war when the best thing he can gain would be to come back in one piece? Naturally, the common people do not want war; Not in Russia, not in England, not in America, not really in Germany. That is understood. But at the end of the day, it is the leaders of the country who determine the policy and it is always a simple matter to drag along the people, no matter if it is a democracy or a fascist dictatorship or a parliament or a communist dictatorship. [...] With voice or without voice, the people can always be subject to the will of the leaders. That is easy. All you have to do is say that they are being attacked and denounce the pacifists for lack of patriotism and exposing the country to danger. It works the same way in all countries.","Well, of course the people do not want war. Why would a poor jerk on a farm want to risk his life in a war when the best he can win would be to return in one piece? Naturally, the common people do not want war; neither in Russia nor in England nor in America, nor really in Germany. That is understood. But after all, it is the leaders of the country that determine politics and it is always a simple matter of dragging along the people, no matter whether it is a democracy or a fascist dictatorship or a communist parliament or dictatorship. [...] With voice or without voice, the people can always be in the will of the leaders. That is easy. All you have to do is say that they are being attacked and denounce the pacifists for lack of patriotism and for exposing the country to danger. It works the same way in all countries.","Well, of course the people don't want war. Why would a poor slob on a farm want to risk his life in a war when the best he can get out of it is to come back in one piece? Naturally, the common people don't want war; neither in Russia, nor in England, nor in America, nor indeed in Germany. That is understood. But after all, it is the leaders of the country who determine the policy, and it is always a simple matter to drag the people along, whether it is a democracy, or a fascist dictatorship, or a parliament, or a communist dictatorship. [...] Voice or no voice, the people can always be brought to the bidding of the leaders. That is easy. All you have to do is tell them they are being attacked and denounce the pacifists for lack of patriotism and for exposing the country to danger. It works the same way in every country."
"The most merciful thing in this world is, in my opinion, the inability of the human mind to relate all its contents to each other. We live on a placid island of ignorance in the middle of the black seas of infinity, and it was arranged that we should not travel very far. The sciences, each striving to advance in its own direction, have caused us little harm until now, but the day will come when the gathering of so much dissociated knowledge will open before us such terrifying panoramas of reality and the frightening position that we occupy it, that we will go crazy because of this revelation or we will flee from the deadly light, to hide in the peace and security of a new age of darkness.","The most merciful thing in this world is, in my opinion, the inability of the human mind to relate all its contents to one another. We live in a placid island of ignorance in the midst of the black seas of infinity, and it was arranged that we should not travel far away. The sciences, striving each of them to advance in their own direction, did little harm to us until now, but the day will come when the gathering of so many dissociated knowledge will open before us such terrifying panoramas of reality and of the appalling position we occupy in it, that we will become mad because of this revelation or flee from the deadly light, to hide ourselves in the peace and security of a new age of darkness.","The most merciful thing in the world, in my opinion, is the inability of the human mind to correlate all its contents. We live on a placid island of ignorance in the midst of black seas of infinity, and it was not meant that we should voyage far. The sciences, each straining in its own direction, have hitherto harmed us little; but some day the piecing together of dissociated knowledge will open up such terrifying vistas of reality, and of our frightful position therein, that we shall either go mad from the revelation or flee from the deadly light into the peace and safety of a new dark age."
"The next morning, Link woke up at seven o'clock, refreshed and full of anticipation. ""Caramba!"" He reached out lustfully and pressed the button on the top of the king-faced alarm clock. ""Oh boy, the day has finally come! I can't wait!"" he thought on his way to the dining room. ""Good morning, Link,"" the king gave him his typical greeting. ""Munf-Munf? We're out of Linky-O. Gwonam ate them all."" ""Problem, guys?"" Gwonam said with a smile, but no one paid attention to it. ""Wow thank you!"" Link dug in eagerly, ignoring the strong taste that almost made his eyes pop out. After all, it was his own fault for allowing Gwonam to defeat him.","The next morning, Link woke up at seven o'clock, renewed and full of expectation. ""Wow!"" stretched lustfully and pressed the button on the top of the alarm clock with the king's face. ""Oh, boy, the day has finally come! I can't wait!"" he thought on his way to the dining room. ""Good morning, Link,"" the king gave him his typical greeting. ""Munf-Munf? We've run out of Linky-O. Gwonam has eaten them all."" ""Problem, boys?"" Gwonam said with a smile, but no one paid attention to it. ""Wow thank you!"" Link dug enthusiastically, without taking into account the strong taste that almost made his eyes pop. After all, it was his own fault to have allowed Gwonam to defeat him.","The next morning, Link woke up at seven o'clock, refreshed and full of anticipation. ""Wow!"" he stretched luxuriously and pressed the button on the top of the alarm clock with the king's face. ""Oh, boy, the day has finally arrived! I can't wait!"" he thought on his way to the dining room. ""Good morning, Link,"" the king greeted him in his usual way. ""Munf-Munf? We ran out of Linky-O. Gwonam ate them all."" ""Problem, guys?"" Gwonam said with a smile, but no one paid attention to it. ""Wow, thanks!"" Link dug in enthusiastically, disregarding the strong flavor that almost made his eyes water. After all, it was his own fault for allowing Gwonam to defeat him."
"When we are going to die, we will be alone. From all our earthly possessions we will be about to part. Earthly friends - friends who point out our position, our wealth, or our social qualities - will leave us when we enter the dark valley. Of those bound to us by stronger ties - our relatives, our loved ones, children, brothers, sisters, and others no less dear to us who have been made our friends because they and we are friends of the same Savior, - of them too we must leave. Although not everything will leave us. There is One who ""remains closer than a brother"" - One who, having loved His own who are in the world, loves them to the end.","When we go to die, we will be alone. Of all our earthly possessions we will be about to depart. The earthly friends - friends who point out our position, our wealth or our social qualities, - will leave us when we enter the dark valley. Of those bound to us by stronger ties - our relatives, our loved ones, children, brothers, sisters, and others no less loved by us who have been made our friends because they and we are friends of the same Savior, - of them we must also leave. Although not everything will leave us. There is one who ""stays closer than a brother"" - One who, having loved His own who are in the world, loves them to the end.","When we go to die, we will be alone. Of all our earthly possessions we will be about to depart. Earthly friends - the friends who point out our position, our wealth, or our social qualities - will leave us when we enter the dark valley. Of those bound to us by stronger ties - our relatives, our loved ones, children, brothers, sisters, and others no less dear to us who have become our friends because they and we are friends of the same Savior - from them too we must depart. Although not everything will leave us. There is One who ""sticks closer than a brother"" - One who, having loved His own who are in the world, loves them to the end."
"To solve the Palestine problem it would be necessary for the Palestinians to abandon the so-called Palestinian Authority and gather in a common political front to defend the rights of all Palestinians, including refugees and their descendants, who wish to return to Palestine. It would also be necessary for them to definitively abandon the so-called ""two-state solution"", which in my opinion is very similar to South Africa's racist solution which consisted of dividing South Africa into white territories and supposedly ""autonomous"" or ""autonomous"" territories. ""independent"" for the native population.","To resolve the Palestinian problem it would be necessary for the Palestinians to abandon the so-called Palestinian Authority and assemble on a common political front to defend the rights of all Palestinians, including refugees and their descendants, who wish to return to Palestine. It would also be necessary for them to definitively abandon the so-called “bi-State solution”, which in my view is very similar to South Africa's racist solution, which consisted of dividing South Africa into territories for whites and into supposedly “autonomous” or “independent” territories for the indigenous population.","To solve the problem of Palestine, it would be necessary for the Palestinians to abandon the so-called Palestinian Authority and come together in a common political front to defend the rights of all Palestinians, including refugees and their descendants, who wish to return to Palestine. It would also be necessary for them to definitively abandon the so-called ""two-state solution,"" which in my opinion is very similar to the racist solution in South Africa that involved dividing South Africa into territories for whites and supposedly ""autonomous"" or ""independent"" territories for the indigenous population."
"Linguistic prejudice arises from a totally incoherent idea about what is right and what is wrong in a language. People who rely on this idea of ​​superiority are as ignorant as those who do not admit the evolution and enrichment of a language. This rude attitude can be noticed in various ways, but it is mainly observed with less developed towns. It is also identified in various places: on television, on the radio, on language learning sites... The problem will remain unsolved as long as an individual's way of speaking is more important than his character.","Language prejudice is born out of a totally inconsistent idea of what is right and what is wrong in a language. People who rely on that idea of superiority are as ignorant as those who do not admit the evolution and enrichment of a language. That rude attitude can be noticed in various ways, but it is observed mainly with the less developed peoples. It is also identified in several places: on television, on radio, on linguistic learning sites... The problem will remain unresolved as long as the way of speaking about an individual is more important than his character.","Linguistic prejudice stems from a completely incoherent idea about what is correct and what is incorrect in a language. People who rely on this idea of superiority are as ignorant as those who do not accept the evolution and enrichment of a language. This rude attitude can be noticed in various ways, but it is mainly observed in less developed communities. It is also identified in various places: on television, on the radio, on language learning sites... The problem will remain unsolved as long as an individual's way of speaking is more important than their character."
