name,name_eu,name_es,lat,lng
Liriodrendon tulipifera,Idio-bihotz arbola,Tulipífero de Virginia,43.086718941215814,-2.321677951417283
Acer platanoides,Astigar zorrotza,Arce real,43.086785427519224,-2.321637174344012
Betula pubescens,Urki iletsua,Abedul pubescente,43.08829173852352,-2.321789851305967
Prunus cerasifera,Aranondo japoniarra,Ciruelo japonés,43.08846279770542,-2.321800282646452
Magnolia liliiflora,Tulipa magnolia,Magnolia tulipán,43.08835268274098,-2.3218552842803524
Liquidambar styraciflua,Likidambarra,Liquidámbar,43.088710728791035,-2.3203882578595425
Magnolia grandiflora,Magnolia,Magnolia,43.08984620643036,-2.3184718643903657
Ficus carica,Pikondoa,Higuera,43.09000410322806,-2.3168777652088495
Cinnamomum camphora,Kanforrondoa,Alcanforero,43.090497874345594,-2.3166681900063018
Olea europaea,Olibondoa,Olivo,43.09078180825016,-2.3166577586577013
Quercus robur,Haritz Kanduduna,Roble pedunculado,43.09100064421517,-2.31633059374967
Juglans regia,Intxaurrondoa,Nogal,43.09297567267587,-2.3149536562064013
Cercis siliquastrum,Amodio zuhaitza,Árbol del amor,43.093494349462574,-2.3147137352769507
Ulmus pumila,Siberiako zumarra,Olmo siberiano,43.09334338658048,-2.3149242587749783
Salix babylonica,Sahats negartia,Sauce llorón,43.093506121785,-2.3148427046226763
Ginkgo biloba,Ginkgo,Gingko,43.093844748119054,-2.3146795963159037
Tilia tomentosa,Ezki zilarkara,Tilo plateado,43.09578367676731,-2.314705200534367
Quercus ilex,Artea,Encina,43.09409958224841,-2.3136715490769895
Quercus robur,Haritz Kanduduna,Roble pedunculado,43.09338493603774,-2.3140110419307174
Platanus x hispanica,Platano arrunta,Plátano de sombra,43.09317788097633,-2.313473353526822
Tilia tomentosa,Ezki zilarkara,Tilo plateado,43.09410512211003,-2.3129375617192767
Salix babylonica,Sahats negartia,Sauce llorón,43.094887135196785,-2.3128872457616945
Carpinus betulus,Xarma (Pago lizarra),Carpe,43.09292359581509,-2.3130750003794187
Prunus serrulata,Gereziondo japoniarra,Cerezo japonés,43.09291576111805,-2.3130025807407475
Tilia platyphyllos,Ezki hostozabala,Tilo común,43.09174544196557,-2.3135779145727766
Koelreuteria paniculata,Txinako xaboi arbola,Árbol de farolillos,43.09166648468838,-2.313530722171584
Ligustrum japonicum,Arbustu japoniarra,Aligustre de japón,43.09062319353954,-2.3157016161694965
Corylus avellana,Hurritza,Avellano,43.08981363008077,-2.316210855469044
Sorbus aucuparia,Otsalizarra,Serbal de los cazadores,43.0943934882181,-2.3138417432236538
Ilex aquifolium,Korostia,Acebo,43.09249649698306,-2.3136817818657303
Laurus nobilis,Erramua,Laurel,43.092436267303746,-2.313659653642803
Fagus sylvatica,Pago gorria,Haya roja,43.0893013947879,-2.31897441099628
